id,formula,X,Y,Z,energy,formation,volume,spacegroup,band_gap,tot_mag,X1_mag,X2_mag,Y_mag,Z_mag
501729,Be2AlAg,Be,Ag,Al,-3.228,0.292,12.098,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500666,Be2AgAs,Be,Ag,As,-3.267,0.479,13.409,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500009,Be2AgB,Be,Ag,B,-3.549,0.704,10.111,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500446,Be2AgBi,Be,Ag,Bi,-2.9,0.693,16.283,Fm-3m,0.0,,0.0,0.0,0.0,0.0
499820,Be2GaAg,Be,Ag,Ga,-3.026,0.315,12.581,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501964,Be2AgGe,Be,Ag,Ge,-3.282,0.457,13.399,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501685,Be2InAg,Be,Ag,In,-2.802,0.461,13.881,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500151,MgBe2Ag,Be,Ag,Mg,-2.767,0.202,12.688,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501210,Be2AgPb,Be,Ag,Pb,-2.814,0.704,16.282,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501563,Be2AgSb,Be,Ag,Sb,-2.985,0.628,15.408,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501267,Be2SiAg,Be,Ag,Si,-3.46,0.479,12.257,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500938,Be2AgSn,Be,Ag,Sn,-3.018,0.543,14.606,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501182,Be2ZnAg,Be,Ag,Zn,-2.734,0.165,11.794,Fm-3m,0.0,,0.0,0.0,0.0,0.0
499991,Be2AlAu,Be,Au,Al,-3.553,0.078,12.322,Fm-3m,0.0,,0.0,0.0,0.0,0.0
499827,Be2AsAu,Be,Au,As,-3.557,0.3,13.652,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501867,Be2BAu,Be,Au,B,-3.768,0.596,10.449,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501792,Be2BiAu,Be,Au,Bi,-3.168,0.536,16.277,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500379,Be2GaAu,Be,Au,Ga,-3.306,0.147,12.655,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500323,Be2GeAu,Be,Au,Ge,-3.56,0.29,13.475,Fm-3m,0.0,,0.0,0.0,0.0,0.0
499966,Be2InAu,Be,Au,In,-3.072,0.302,14.157,Fm-3m,0.0,,0.0,0.0,0.0,0.0
502083,MgBe2Au,Be,Au,Mg,-3.159,-0.079,12.716,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501784,Be2PbAu,Be,Au,Pb,-3.079,0.542,15.856,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500962,Be2SbAu,Be,Au,Sb,-3.254,0.469,15.573,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501053,Be2SnAu,Be,Au,Sn,-3.286,0.387,14.947,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500933,Be2ZnAu,Be,Au,Zn,-3.035,-0.024,11.952,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501136,Be2AlCd,Be,Cd,Al,-2.5,0.539,13.598,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501189,Be2CdAs,Be,Cd,As,-2.603,0.663,14.585,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501788,Be2CdB,Be,Cd,B,-2.735,1.038,11.354,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501196,Be2CdBi,Be,Cd,Bi,-2.344,0.768,17.921,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500146,Be2CdGa,Be,Cd,Ga,-2.312,0.549,13.7,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501085,Be2CdGe,Be,Cd,Ge,-2.633,0.626,14.484,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500265,Be2CdIn,Be,Cd,In,-2.137,0.646,15.668,Fm-3m,0.0,,0.0,0.0,0.0,0.0
502174,MgBe2Cd,Be,Cd,Mg,-2.077,0.412,13.905,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500946,Be2CdPb,Be,Cd,Pb,-2.256,0.773,17.385,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500472,Be2CdSi,Be,Cd,Si,-2.78,0.679,13.429,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501539,Be2CdSn,Be,Cd,Sn,-2.428,0.653,16.214,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501676,Be2ZnCd,Be,Cd,Zn,-1.97,0.45,12.445,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500708,Be2AlCo,Be,Co,Al,-4.763,-0.177,9.818,Fm-3m,0.0,,0.0,0.0,0.0,0.0
716207,Be2CoAs,Be,Co,As,-4.643,0.17,10.486,F-43m,0.0,-0.0,0.0,0.0,0.0,0.0
716201,Be2CoB,Be,Co,B,-5.4,-0.081,7.62,F-43m,0.0,-0.0,0.0,0.0,-0.001,0.0
735032,Be2CoBi,Be,Co,Bi,-3.972,0.688,13.925,F-43m,0.0,0.0,0.0,0.0,0.0,0.0
500664,Be2GaCo,Be,Co,Ga,-4.474,-0.066,9.893,Fm-3m,,0.0,0.0,0.0,0.0,0.0
735026,Be2CoGe,Be,Co,Ge,-4.778,0.028,10.242,F-43m,0.0,0.0,0.0,0.0,0.0,0.0
502084,Be2InCo,Be,Co,In,-4.111,0.219,11.621,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501253,MgBe2Co,Be,Co,Mg,-3.956,0.08,10.756,Fm-3m,0.0,,0.0,0.0,0.0,0.0
735031,Be2CoPb,Be,Co,Pb,-3.942,0.634,13.219,F-43m,0.0,-0.0,0.0,0.0,0.0,0.0
716210,Be2CoSb,Be,Co,Sb,-4.282,0.397,12.294,F-43m,0.0,-0.0,0.0,0.0,0.0,0.0
735023,Be2CoSi,Be,Co,Si,-5.218,-0.211,9.41,F-43m,0.0,0.0,0.0,0.0,0.0,0.0
735029,Be2CoSn,Be,Co,Sn,-4.372,0.256,12.196,F-43m,0.0,-0.0,0.0,0.0,0.0,0.0
499974,Be2ZnCo,Be,Co,Zn,-4.067,-0.1,9.527,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500449,Be2AlCu,Be,Cu,Al,-3.619,0.124,10.534,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500366,Be2CuAs,Be,Cu,As,-3.561,0.409,11.954,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501055,Be2CuB,Be,Cu,B,-4.151,0.326,8.265,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501025,Be2CuBi,Be,Cu,Bi,-3.09,0.727,15.217,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501324,Be2GaCu,Be,Cu,Ga,-3.401,0.163,10.688,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500282,Be2CuGe,Be,Cu,Ge,-3.62,0.342,11.431,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501889,Be2InCu,Be,Cu,In,-3.093,0.393,12.593,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501125,MgBe2Cu,Be,Cu,Mg,-3.038,0.154,11.243,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501184,Be2CuPb,Be,Cu,Pb,-3.022,0.711,14.423,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500044,Be2CuSb,Be,Cu,Sb,-3.229,0.607,14.015,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501491,Be2CuSi,Be,Cu,Si,-3.877,0.286,10.578,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501220,Be2CuSn,Be,Cu,Sn,-3.293,0.492,13.262,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501523,Be2ZnCu,Be,Cu,Zn,-3.11,0.02,10.319,Fm-3m,0.0,,0.0,0.0,0.0,0.0
499835,Be2AlFe,Be,Fe,Al,-4.939,-0.048,9.896,Fm-3m,0.0,-0.0,0.0,0.0,0.0,0.0
716243,Be2FeAs,Be,Fe,As,-4.857,0.261,10.347,F-43m,0.0,0.006,-0.002,-0.002,0.023,-0.001
732795,Be2FeB,Be,Fe,B,-5.612,0.012,7.636,F-43m,0.0,0.004,0.0,0.0,0.012,0.0
501590,Be2FeBi,Be,Fe,Bi,-4.166,0.799,14.245,Fm-3m,0.0,0.52,-0.036,-0.036,2.086,0.023
501065,Be2GaFe,Be,Fe,Ga,-4.649,0.063,9.95,Fm-3m,0.0,0.002,0.0,0.0,0.009,0.0
735088,Be2FeGe,Be,Fe,Ge,-4.954,0.157,10.344,F-43m,0.0,0.11,0.0,-0.01,0.412,0.002
501407,Be2InFe,Be,Fe,In,-4.303,0.331,11.919,Fm-3m,0.0,0.391,-0.026,-0.026,1.601,-0.028
500307,MgBe2Fe,Be,Fe,Mg,-4.114,0.227,10.789,Fm-3m,0.0,0.347,-0.044,-0.044,1.511,-0.012
500033,Be2FePb,Be,Fe,Pb,-4.15,0.73,13.194,Fm-3m,0.0,0.455,-0.028,-0.028,1.844,0.004
732804,Be2FeSb,Be,Fe,Sb,-4.502,0.482,12.226,F-43m,0.0,0.003,-0.001,-0.001,0.015,0.0
735085,Be2FeSi,Be,Fe,Si,-5.398,-0.087,9.513,F-43m,0.0,0.065,0.003,-0.005,0.24,0.0
501395,Be2FeSn,Be,Fe,Sn,-4.53,0.403,11.929,Fm-3m,0.0,0.262,-0.013,-0.013,1.063,-0.019
500968,Be2AlIr,Be,Ir,Al,-5.419,-0.391,11.15,Fm-3m,0.0,,0.0,0.0,0.0,0.0
502069,Be2AsIr,Be,Ir,As,-5.103,0.152,12.277,Fm-3m,0.0,,0.0,0.0,0.0,0.0
742157,Be2BIr,Be,Ir,B,-5.735,0.026,9.286,F-43m,0.0,0.001,0.0,0.0,0.0,0.0
501893,Be2BiIr,Be,Ir,Bi,-4.625,0.476,14.817,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500624,Be2GaIr,Be,Ir,Ga,-5.054,-0.204,11.293,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500356,Be2GeIr,Be,Ir,Ge,-5.196,0.051,11.512,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501978,Be2InIr,Be,Ir,In,-4.775,-0.004,12.797,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501006,MgBe2Ir,Be,Ir,Mg,-4.779,-0.302,11.752,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500364,Be2IrPb,Be,Ir,Pb,-4.558,0.459,14.066,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500321,Be2SbIr,Be,Ir,Sb,-4.824,0.297,13.5,Fm-3m,0.0,,0.0,0.0,0.0,0.0
742159,Be2SiIr,Be,Ir,Si,-5.659,-0.211,11.09,F-43m,0.0,0.0,0.0,0.0,0.0,0.0
500794,Be2SnIr,Be,Ir,Sn,-4.961,0.109,12.958,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500774,Be2ZnIr,Be,Ir,Zn,-4.708,-0.3,10.95,Fm-3m,0.0,,0.0,0.0,0.0,0.0
716226,LiBe2Al,Be,Li,Al,-3.146,0.143,11.007,F-43m,0.0,,0.0,0.0,0.0,0.0
732789,LiBe2As,Be,Li,As,-3.237,0.278,12.252,F-43m,0.0,,0.0,0.0,0.0,0.0
500252,LiBe2B,Be,Li,B,-3.917,0.104,7.384,Fm-3m,0.829,,0.0,0.0,0.0,0.0
732794,LiBe2Bi,Be,Li,Bi,-2.861,0.501,16.049,F-43m,0.0,,0.0,0.0,0.0,0.0
500389,LiBe2Ga,Be,Li,Ga,-3.01,0.1,10.935,Fm-3m,0.0,,0.0,0.0,0.0,0.0
716230,LiBe2Ge,Be,Li,Ge,-3.284,0.224,11.491,F-43m,0.0,,0.0,0.0,0.0,0.0
716232,LiBe2In,Be,Li,In,-2.765,0.266,13.083,F-43m,0.0,,0.0,0.0,0.0,0.0
734998,LiMgBe2,Be,Li,Mg,-2.511,0.226,12.21,F-43m,0.0,,0.0,0.0,0.0,0.0
732793,LiBe2Pb,Be,Li,Pb,-2.799,0.479,14.946,F-43m,0.0,,0.0,0.0,0.0,0.0
732792,LiBe2Sb,Be,Li,Sb,-2.958,0.423,14.385,F-43m,0.0,,0.0,0.0,0.0,0.0
732785,LiBe2Si,Be,Li,Si,-3.48,0.228,10.669,F-43m,0.0,,0.0,0.0,0.0,0.0
735066,LiBe2Sn,Be,Li,Sn,-3.017,0.313,13.804,F-43m,0.0,,0.0,0.0,0.0,0.0
749020,LiBe2Zn,Be,Li,Zn,-2.586,0.083,10.44,F-43m,0.0,,0.0,0.0,0.0,0.0
501702,MgBe2Al,Be,Mg,Al,-2.865,0.334,13.242,Fm-3m,0.0,,0.0,0.0,0.0,0.0
735005,MgBe2As,Be,Mg,As,-2.912,0.514,14.575,F-43m,0.0,,0.0,0.0,0.0,0.0
734999,MgBe2B,Be,Mg,B,-3.253,0.679,10.076,F-43m,0.0,,0.0,0.0,0.0,0.0
501402,MgBe2Bi,Be,Mg,Bi,-2.606,0.667,17.841,Fm-3m,0.0,,0.0,0.0,0.0,0.0
502015,MgBe2Ga,Be,Mg,Ga,-2.643,0.378,13.306,Fm-3m,0.0,,0.0,0.0,0.0,0.0
735004,MgBe2Ge,Be,Mg,Ge,-2.923,0.496,14.046,F-43m,0.0,,0.0,0.0,0.0,0.0
501543,MgBe2In,Be,Mg,In,-2.457,0.486,15.346,Fm-3m,0.0,,0.0,0.0,0.0,0.0
499772,MgBe2Pb,Be,Mg,Pb,-2.505,0.684,17.434,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501338,MgBe2Sb,Be,Mg,Sb,-2.703,0.59,16.645,Fm-3m,0.0,,0.0,0.0,0.0,0.0
499748,MgBe2Si,Be,Mg,Si,-3.15,0.469,12.474,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501633,MgBe2Sn,Be,Mg,Sn,-2.734,0.507,15.914,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501516,MgBe2Zn,Be,Mg,Zn,-2.272,0.308,12.354,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500342,MnBe2Al,Be,Mn,Al,-5.065,0.006,10.542,Fm-3m,0.0,0.643,-0.044,-0.044,2.558,-0.021
735040,MnBe2As,Be,Mn,As,-4.95,0.347,11.212,F-43m,0.0,0.47,-0.03,-0.053,1.901,-0.027
735311,MnBe2B,Be,Mn,B,-5.699,0.104,7.82,F-43m,0.0,0.009,-0.001,-0.001,0.035,-0.001
501413,MnBe2Bi,Be,Mn,Bi,-4.381,0.763,15.144,Fm-3m,0.0,0.858,-0.058,-0.058,3.315,0.029
499805,MnBe2Ga,Be,Mn,Ga,-4.78,0.112,10.637,Fm-3m,0.0,0.666,-0.042,-0.042,2.624,-0.025
735039,MnBe2Ge,Be,Mn,Ge,-5.035,0.255,10.896,F-43m,0.0,0.446,-0.029,-0.039,1.753,-0.025
501474,MnBe2In,Be,Mn,In,-4.479,0.336,12.537,Fm-3m,0.0,0.746,-0.05,-0.05,2.924,-0.027
500555,MgMnBe2,Be,Mn,Mg,-4.327,0.193,11.777,Fm-3m,0.0,0.75,-0.066,-0.066,3.046,-0.019
500148,MnBe2Pb,Be,Mn,Pb,-4.328,0.732,13.937,Fm-3m,0.0,0.747,-0.066,-0.066,2.989,0.008
732780,MnBe2Sb,Be,Mn,Sb,-4.57,0.594,12.599,F-43m,0.0,0.365,-0.055,-0.035,1.51,-0.034
735036,MnBe2Si,Be,Mn,Si,-5.456,0.034,9.812,F-43m,0.0,0.266,0.0,-0.02,1.024,-0.021
500971,MnBe2Sn,Be,Mn,Sn,-4.68,0.433,12.684,Fm-3m,0.0,0.668,-0.055,-0.055,2.66,-0.017
501391,MnBe2Zn,Be,Mn,Zn,-4.396,0.054,10.207,Fm-3m,0.0,0.678,-0.048,-0.048,2.72,-0.031
499715,Be2AlNi,Be,Ni,Al,-4.429,-0.223,9.966,Fm-3m,0.0,,0.0,0.0,0.0,0.0
499784,Be2NiAs,Be,Ni,As,-4.242,0.19,11.061,Fm-3m,0.0,,0.0,0.0,0.0,0.0
716177,Be2NiB,Be,Ni,B,-5.017,-0.078,7.697,F-43m,0.0,0.0,0.0,0.0,0.0,0.0
501914,Be2NiBi,Be,Ni,Bi,-3.688,0.591,14.197,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501232,Be2GaNi,Be,Ni,Ga,-4.152,-0.125,10.051,Fm-3m,0.0,,0.0,0.0,0.0,0.0
734991,Be2NiGe,Be,Ni,Ge,-4.343,0.082,10.614,F-43m,0.0,0.0,0.0,0.0,0.0,0.0
500922,Be2InNi,Be,Ni,In,-3.812,0.137,11.754,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501619,MgBe2Ni,Be,Ni,Mg,-3.668,-0.013,10.864,Fm-3m,0.0,,0.0,0.0,0.0,0.0
502085,Be2NiPb,Be,Ni,Pb,-3.648,0.548,13.171,Fm-3m,0.0,,0.0,0.0,0.0,0.0
502055,Be2NiSb,Be,Ni,Sb,-3.893,0.406,12.925,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501641,Be2NiSn,Be,Ni,Sn,-4.002,0.246,12.256,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500184,Be2ZnNi,Be,Ni,Zn,-3.76,-0.175,9.647,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500037,Be2AlPd,Be,Pd,Al,-4.394,-0.286,11.215,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501047,Be2AsPd,Be,Pd,As,-4.269,0.066,12.401,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500984,Be2BPd,Be,Pd,B,-4.63,0.212,9.359,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500157,Be2BiPd,Be,Pd,Bi,-3.825,0.356,15.059,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501769,Be2GaPd,Be,Pd,Ga,-4.115,-0.185,11.576,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501770,Be2GePd,Be,Pd,Ge,-4.314,0.014,12.099,Fm-3m,0.0,,0.0,0.0,0.0,0.0
499727,Be2InPd,Be,Pd,In,-3.871,-0.019,12.895,Fm-3m,0.0,,0.0,0.0,0.0,0.0
499685,MgBe2Pd,Be,Pd,Mg,-3.769,-0.212,11.99,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500046,Be2PdPb,Be,Pd,Pb,-3.754,0.343,14.354,Fm-3m,0.0,,0.0,0.0,0.0,0.0
499804,Be2SbPd,Be,Pd,Sb,-3.976,0.225,14.15,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501042,Be2SiPd,Be,Pd,Si,-4.568,-0.04,11.112,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500530,Be2SnPd,Be,Pd,Sn,-4.054,0.104,13.742,Fm-3m,,,0.0,0.0,0.0,0.0
500781,Be2ZnPd,Be,Pd,Zn,-3.751,-0.262,11.082,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501186,Be2AlPt,Be,Pt,Al,-4.76,-0.432,11.425,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501360,Be2AsPt,Be,Pt,As,-4.55,0.005,12.667,Fm-3m,0.0,,0.0,0.0,0.0,0.0
742131,Be2BPt,Be,Pt,B,-5.017,0.044,9.517,F-43m,0.0,0.0,0.0,0.0,0.0,0.0
502164,Be2BiPt,Be,Pt,Bi,-4.109,0.293,15.235,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501018,Be2GaPt,Be,Pt,Ga,-4.409,-0.259,11.658,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500427,Be2GePt,Be,Pt,Ge,-4.582,-0.035,12.231,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500709,Be2InPt,Be,Pt,In,-4.162,-0.09,13.093,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501691,MgBe2Pt,Be,Pt,Mg,-4.192,-0.415,12.058,Fm-3m,0.0,,0.0,0.0,0.0,0.0
499987,Be2PtPb,Be,Pt,Pb,-4.016,0.302,14.703,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500640,Be2SbPt,Be,Pt,Sb,-4.248,0.172,14.34,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501552,Be2SiPt,Be,Pt,Si,-4.855,-0.108,11.38,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501233,Be2SnPt,Be,Pt,Sn,-4.316,0.054,13.618,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501492,Be2ZnPt,Be,Pt,Zn,-4.092,-0.384,11.301,Fm-3m,0.0,,0.0,0.0,0.0,0.0
499746,Be2AlRh,Be,Rh,Al,-5.03,-0.399,11.064,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501877,Be2AsRh,Be,Rh,As,-4.82,0.038,12.02,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500378,Be2BRh,Be,Rh,B,-5.254,0.11,9.027,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501613,Be2BiRh,Be,Rh,Bi,-4.337,0.368,14.642,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501651,Be2GaRh,Be,Rh,Ga,-4.718,-0.265,11.128,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501655,Be2GeRh,Be,Rh,Ge,-4.902,-0.051,11.388,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501481,Be2InRh,Be,Rh,In,-4.445,-0.07,12.672,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501991,MgBe2Rh,Be,Rh,Mg,-4.346,-0.265,11.763,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500380,Be2RhPb,Be,Rh,Pb,-4.286,0.335,13.885,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500106,Be2SbRh,Be,Rh,Sb,-4.54,0.185,13.499,Fm-3m,0.0,,0.0,0.0,0.0,0.0
740098,Be2SiRh,Be,Rh,Si,-5.305,-0.254,10.875,F-43m,0.0,0.0,0.0,0.0,0.0,0.0
500308,Be2SnRh,Be,Rh,Sn,-4.659,0.015,12.865,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500856,Be2ZnRh,Be,Rh,Zn,-4.341,-0.33,10.822,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501372,Be2AlRu,Be,Ru,Al,-5.348,-0.233,11.014,Fm-3m,0.0,,0.0,0.0,0.0,0.0
740063,Be2AsRu,Be,Ru,As,-5.097,0.244,12.027,F-43m,0.0,0.001,0.0,0.0,0.002,0.0
500944,Be2BRu,Be,Ru,B,-5.588,0.259,8.949,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500485,Be2BiRu,Be,Ru,Bi,-4.54,0.647,14.51,Fm-3m,0.0,,0.0,0.0,0.0,0.0
500180,Be2GaRu,Be,Ru,Ga,-5.027,-0.091,11.027,Fm-3m,0.0,,0.0,0.0,0.0,0.0
740062,Be2GeRu,Be,Ru,Ge,-5.212,0.122,11.684,F-43m,0.0,0.001,0.0,0.0,0.001,0.0
502140,Be2InRu,Be,Ru,In,-4.738,0.121,12.602,Fm-3m,0.0,,0.0,0.0,0.0,0.0
499962,MgBe2Ru,Be,Ru,Mg,-4.633,-0.069,11.694,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501442,Be2RuPb,Be,Ru,Pb,-4.539,0.565,13.643,Fm-3m,0.0,,0.0,0.0,0.0,0.0
501371,Be2SbRu,Be,Ru,Sb,-4.811,0.396,13.069,Fm-3m,0.0,,0.0,0.0,0.0,0.0
740059,Be2SiRu,Be,Ru,Si,-5.648,-0.114,10.891,F-43m,0.0,0.001,0.0,0.0,0.001,0.0
