id,formula,X,Y,Z,energy,formation,lat,spacegroup,tot_mag,X1_mag,X2_mag,Y_mag,Z_mag
501729,Be2AlAg,Be,Ag,Al,-3.228,0.292,5.784660218338311,Fm-3m,0.0,0.0,0.0,0.0,0.0
500666,Be2AgAs,Be,Ag,As,-3.267,0.479,5.986488112844248,Fm-3m,0.0,0.0,0.0,0.0,0.0
500009,Be2AgB,Be,Ag,B,-3.549,0.704,5.448848057745458,Fm-3m,0.0,0.0,0.0,0.0,0.0
500446,Be2AgBi,Be,Ag,Bi,-2.9,0.693,6.386821841981391,Fm-3m,0.0,0.0,0.0,0.0,0.0
499820,Be2GaAg,Be,Ag,Ga,-3.026,0.315,5.860640046262708,Fm-3m,0.0,0.0,0.0,0.0,0.0
501964,Be2AgGe,Be,Ag,Ge,-3.282,0.457,5.984999566120319,Fm-3m,0.0,0.0,0.0,0.0,0.0
501685,Be2InAg,Be,Ag,In,-2.802,0.461,6.055921620580478,Fm-3m,0.0,0.0,0.0,0.0,0.0
500151,MgBe2Ag,Be,Ag,Mg,-2.767,0.202,5.877207861883412,Fm-3m,0.0,0.0,0.0,0.0,0.0
501210,Be2AgPb,Be,Ag,Pb,-2.814,0.704,6.386691093090059,Fm-3m,0.0,0.0,0.0,0.0,0.0
501563,Be2AgSb,Be,Ag,Sb,-2.985,0.628,6.270306220402124,Fm-3m,0.0,0.0,0.0,0.0,0.0
501267,Be2SiAg,Be,Ag,Si,-3.46,0.479,5.809891958258809,Fm-3m,0.0,0.0,0.0,0.0,0.0
500938,Be2AgSn,Be,Ag,Sn,-3.018,0.543,6.159570442863484,Fm-3m,0.0,0.0,0.0,0.0,0.0
501182,Be2ZnAg,Be,Ag,Zn,-2.734,0.165,5.735796069563999,Fm-3m,0.0,0.0,0.0,0.0,0.0
499991,Be2AlAu,Be,Au,Al,-3.553,0.078,5.820143987809226,Fm-3m,0.0,0.0,0.0,0.0,0.0
499827,Be2AsAu,Be,Au,As,-3.557,0.3,6.022434529283743,Fm-3m,0.0,0.0,0.0,0.0,0.0
501867,Be2BAu,Be,Au,B,-3.768,0.596,5.508900190347988,Fm-3m,0.0,0.0,0.0,0.0,0.0
501792,Be2BiAu,Be,Au,Bi,-3.168,0.536,6.3860372683180735,Fm-3m,0.0,0.0,0.0,0.0,0.0
500379,Be2GaAu,Be,Au,Ga,-3.306,0.147,5.872108128591183,Fm-3m,0.0,0.0,0.0,0.0,0.0
500323,Be2GeAu,Be,Au,Ge,-3.56,0.29,5.996294007704438,Fm-3m,0.0,0.0,0.0,0.0,0.0
499966,Be2InAu,Be,Au,In,-3.072,0.302,6.095795723412907,Fm-3m,0.0,0.0,0.0,0.0,0.0
502083,MgBe2Au,Be,Au,Mg,-3.159,-0.079,5.881527978427253,Fm-3m,0.0,0.0,0.0,0.0,0.0
501784,Be2PbAu,Be,Au,Pb,-3.079,0.542,6.3304979613533305,Fm-3m,0.0,0.0,0.0,0.0,0.0
500962,Be2SbAu,Be,Au,Sb,-3.254,0.469,6.292609120596023,Fm-3m,0.0,0.0,0.0,0.0,0.0
501053,Be2SnAu,Be,Au,Sn,-3.286,0.387,6.207137115693952,Fm-3m,0.0,0.0,0.0,0.0,0.0
500933,Be2ZnAu,Be,Au,Zn,-3.035,-0.024,5.761296004672323,Fm-3m,0.0,0.0,0.0,0.0,0.0
501136,Be2AlCd,Be,Cd,Al,-2.5,0.539,6.014483528287988,Fm-3m,0.0,0.0,0.0,0.0,0.0
501189,Be2CdAs,Be,Cd,As,-2.603,0.663,6.156617021416112,Fm-3m,0.0,0.0,0.0,0.0,0.0
501788,Be2CdB,Be,Cd,B,-2.735,1.038,5.663561543724504,Fm-3m,0.0,0.0,0.0,0.0,0.0
501196,Be2CdBi,Be,Cd,Bi,-2.344,0.768,6.594179134712778,Fm-3m,0.0,0.0,0.0,0.0,0.0
500146,Be2CdGa,Be,Cd,Ga,-2.312,0.549,6.02948450297757,Fm-3m,0.0,0.0,0.0,0.0,0.0
501085,Be2CdGe,Be,Cd,Ge,-2.633,0.626,6.142372724426213,Fm-3m,0.0,0.0,0.0,0.0,0.0
500265,Be2CdIn,Be,Cd,In,-2.137,0.646,6.305378794325917,Fm-3m,0.0,0.0,0.0,0.0,0.0
502174,MgBe2Cd,Be,Cd,Mg,-2.077,0.412,6.059409804299765,Fm-3m,0.0,0.0,0.0,0.0,0.0
500946,Be2CdPb,Be,Cd,Pb,-2.256,0.773,6.527770729164295,Fm-3m,0.0,0.0,0.0,0.0,0.0
500472,Be2CdSi,Be,Cd,Si,-2.78,0.679,5.989462987542058,Fm-3m,0.0,0.0,0.0,0.0,0.0
501539,Be2CdSn,Be,Cd,Sn,-2.428,0.653,6.377787580084063,Fm-3m,0.0,0.0,0.0,0.0,0.0
501676,Be2ZnCd,Be,Cd,Zn,-1.97,0.45,5.83944574711183,Fm-3m,0.0,0.0,0.0,0.0,0.0
500708,Be2AlCo,Be,Co,Al,-4.763,-0.177,5.395698449079559,Fm-3m,0.0,0.0,0.0,0.0,0.0
716207,Be2CoAs,Be,Co,As,-4.643,0.17,5.51539488496313,F-43m,-0.0,0.0,0.0,0.0,0.0
716201,Be2CoB,Be,Co,B,-5.4,-0.081,4.958591344685785,F-43m,-0.0,0.0,0.0,-0.001,0.0
735032,Be2CoBi,Be,Co,Bi,-3.972,0.688,6.062313559292821,F-43m,0.0,0.0,0.0,0.0,0.0
500664,Be2GaCo,Be,Co,Ga,-4.474,-0.066,5.409402913228773,Fm-3m,0.0,0.0,0.0,0.0,0.0
735026,Be2CoGe,Be,Co,Ge,-4.778,0.028,5.472279251163804,F-43m,0.0,0.0,0.0,0.0,0.0
502084,Be2InCo,Be,Co,In,-4.111,0.219,5.707612686596589,Fm-3m,0.0,0.0,0.0,0.0,0.0
501253,MgBe2Co,Be,Co,Mg,-3.956,0.08,5.562332234135593,Fm-3m,0.0,0.0,0.0,0.0,0.0
735031,Be2CoPb,Be,Co,Pb,-3.942,0.634,5.958078145568528,F-43m,-0.0,0.0,0.0,0.0,0.0
716210,Be2CoSb,Be,Co,Sb,-4.282,0.397,5.815732160040831,F-43m,-0.0,0.0,0.0,0.0,0.0
735023,Be2CoSi,Be,Co,Si,-5.218,-0.211,5.319896732312456,F-43m,0.0,0.0,0.0,0.0,0.0
735029,Be2CoSn,Be,Co,Sn,-4.372,0.256,5.800237802378289,F-43m,-0.0,0.0,0.0,0.0,0.0
499974,Be2ZnCo,Be,Co,Zn,-4.067,-0.1,5.341854434087909,Fm-3m,0.0,0.0,0.0,0.0,0.0
500449,Be2AlCu,Be,Cu,Al,-3.619,0.124,5.523797708673745,Fm-3m,0.0,0.0,0.0,0.0,0.0
500366,Be2CuAs,Be,Cu,As,-3.561,0.409,5.761617344179078,Fm-3m,0.0,0.0,0.0,0.0,0.0
501055,Be2CuB,Be,Cu,B,-4.151,0.326,5.094727345803994,Fm-3m,0.0,0.0,0.0,0.0,0.0
501025,Be2CuBi,Be,Cu,Bi,-3.09,0.727,6.244289183441204,Fm-3m,0.0,0.0,0.0,0.0,0.0
501324,Be2GaCu,Be,Cu,Ga,-3.401,0.163,5.550585659052641,Fm-3m,0.0,0.0,0.0,0.0,0.0
500282,Be2CuGe,Be,Cu,Ge,-3.62,0.342,5.6763356647067456,Fm-3m,0.0,0.0,0.0,0.0,0.0
501889,Be2InCu,Be,Cu,In,-3.093,0.393,5.862502784583217,Fm-3m,0.0,0.0,0.0,0.0,0.0
501125,MgBe2Cu,Be,Cu,Mg,-3.038,0.154,5.645044863256029,Fm-3m,0.0,0.0,0.0,0.0,0.0
501184,Be2CuPb,Be,Cu,Pb,-3.022,0.711,6.13373763350398,Fm-3m,0.0,0.0,0.0,0.0,0.0
500044,Be2CuSb,Be,Cu,Sb,-3.229,0.607,6.0753461616948155,Fm-3m,0.0,0.0,0.0,0.0,0.0
501491,Be2CuSi,Be,Cu,Si,-3.877,0.286,5.531477902448545,Fm-3m,0.0,0.0,0.0,0.0,0.0
501220,Be2CuSn,Be,Cu,Sn,-3.293,0.492,5.9645314846245565,Fm-3m,0.0,0.0,0.0,0.0,0.0
