pretty_formula,X,Y,Z,energy,energy_per_atom,volume,formation_energy_per_atom,spacegroup,band_gap,density,total_magnetization
Mn3Al,Mn,Mn,Al,-31.50020942,-7.875052355,46.69059768899607,-0.06714692844827663,225,0.0,6.8211636728034835,2.9960903
Mn3Si,Mn,Mn,Si,-34.10966498,-8.527416245,45.250412152148996,-0.28182627094827595,225,0.0,7.078772647934179,2.8462284
Mn3Ga,Mn,Mn,Ga,-30.44982077,-7.6124551925,47.77459938194109,0.016080282176724303,225,0.0,8.151990393940475,3.9979861
Mn3Ge,Mn,Mn,Ge,-32.40951624,-8.10237906,47.869963898939375,-0.07511062719827777,225,0.0,8.236936809178305,2.6534147
Mn3Sn,Mn,Mn,Sn,-30.60331277,-7.6508281925,57.33310259069782,0.22307624030172413,225,0.0,8.211711580525195,7.1389367
Mn3Sb,Mn,Mn,Sb,-31.22546196,-7.80636549,53.6832095097318,0.04939628905172366,225,0.0,8.864364686659357,1.9947556
Mn3Zn,Mn,Mn,Zn,-27.97279125,-6.9931978125,49.433208407917476,0.1932495590517238,225,0.0,7.7335564899606135,4.9993861
Mn2AlCo,Mn,Co,Al,-30.29345008,-7.57336252,47.336515003604994,-0.278881467715518,216,0.0,6.868235049513664,1.9974583
Mn2CoSi,Mn,Co,Si,-32.33479883,-8.0836997075,44.53199111688926,-0.3515341077155174,216,0.0,7.341946189742852,2.9957666
Mn2GaCo,Mn,Co,Ga,-28.49577871,-7.1239446775,51.152838400807944,-0.008833577090517686,216,0.0,7.743307903743011,6.9081243
Mn2CoGe,Mn,Co,Ge,-30.68033277,-7.6700831925,47.13039306098122,-0.15623913396551803,216,0.0,8.506951550910534,2.9997921
Mn2CoAs,Mn,Co,As,-30.41389667,-7.6034741675,47.33310228279193,-0.08060747146551783,216,0.0,8.550562645597617,4.0004775
Mn2InCo,Mn,Co,In,-27.35863639,-6.8396590975,58.83670256168881,0.2063489297844825,216,0.0,8.004768564356366,7.9997351
Mn2CoSn,Mn,Co,Sn,-28.9522697,-7.238067425,57.91945588695616,0.1224126335344824,216,0.0,8.243119653527705,7.3244613
Mn2CoSb,Mn,Co,Sb,-29.40269712,-7.35067428,53.7667326950521,-0.008336875215517736,216,0.0,8.97398121684511,4.0
Mn2SiNi,Mn,Ni,Si,-30.66170276,-7.66542569,45.37589579931538,-0.28305536896551775,216,0.0,7.1966247229825315,3.876892
Mn2GaNi,Mn,Ni,Ga,-27.38865502,-6.847163755,53.031686206867064,-0.06409793334051805,225,0.0,7.4614634612759385,7.341856
Mn2NiSn,Mn,Ni,Sn,-27.84528374,-6.961320935,55.28620688122539,0.06711384478448235,216,0.0,8.62853219796349,3.9946423
Mn2NiSb,Mn,Ni,Sb,-27.9997854,-6.99994635,55.101171390286176,0.010345776034482057,216,0.0,8.749423073354924,4.6604055
Mn2CuGe,Mn,Cu,Ge,-26.49524228,-6.62381057,52.787068549075144,0.13775570728448283,216,0.0,7.7404509188530035,3.934521
Mn2CuSb,Mn,Cu,Sb,-25.43585377,-6.3589634425,60.38480415432419,0.23109618103448248,216,0.0,8.117297043026618,4.773776
Mn2SiRu,Mn,Ru,Si,-34.59524593,-8.6488114825,48.65483003837173,-0.3928779177155164,216,0.0,8.157901138149718,2.0023558
Mn2GeRu,Mn,Ru,Ge,-32.97695797,-8.2442394925,51.39520620866407,-0.1888774689655186,216,0.0,9.16244560392404,1.9999229
Mn2SnRu,Mn,Ru,Sn,-31.29152974,-7.822882435,61.957932049877535,0.0791155885344823,216,0.0,8.835136969176613,7.1484371
Mn2SiRh,Mn,Rh,Si,-31.57013284,-7.89253321,53.85664903616702,-0.11412009146551672,225,0.0,7.426552152078045,7.2410637
Mn2GaRh,Mn,Rh,Ga,-29.34629143,-7.3365728575,53.44340138474234,-0.15746423834051715,216,0.0,8.777695581380843,6.73518
MnAlFe2,Fe,Mn,Al,-30.59298947,-7.6482473675,45.79997843114627,-0.18634536198275864,225,0.0,7.019572677731332,1.8573244
MnAlFe2,Fe,Mn,Al,-30.38269676,-7.59567419,49.184925683706425,-0.1337721844827593,216,0.0,6.536479882137167,6.9721748
MnFe2Si,Fe,Mn,Si,-32.87513342,-8.218783355,43.728962092220115,-0.3191968019827591,225,0.0,7.393942888166583,3.0009148
MnGaFe2,Fe,Mn,Ga,-29.15354503,-7.2883862575,46.125261708883045,-0.005854203857759366,225,0.0,8.508789524735652,4.8681045
MnFe2Ge,Fe,Mn,Ge,-31.16514644,-7.79128661,46.267602449963384,-0.11002159823275903,225,0.0,8.587303319664906,3.0104023
AlFe3,Fe,Fe,Al,-29.94388726,-7.485971815,47.40960635590917,-0.1970715200000006,225,0.0,6.813013991727598,5.8663171
Fe3Si,Fe,Fe,Si,-32.12265634,-8.030664085,43.9643328954172,-0.3040792425000003,225,0.0,7.388613930536537,4.8902705
