atom_num_X,symbol_X,mass_X,period_X,group_X,stable_phase_X,atomic_radius_X,negativity_X,density_X,tot_val_X,s_val_X,p_val_X,d_val_X,f_val_X,atom_num_Y,symbol_Y,mass_Y,period_Y,group_Y,stable_phase_Y,atomic_radius_Y,negativity_Y,density_Y,tot_val_Y,s_val_Y,p_val_Y,d_val_Y,f_val_Y,atom_num_Z,symbol_Z,mass_Z,period_Z,group_Z,stable_phase_Z,atomic_radius_Z,negativity_Z,density_Z,tot_val_Z,s_val_Z,p_val_Z,d_val_Z,f_val_Z,ratio_XY,ratio_XZ,ratio_YZ,lat_type,lat,x1_mag,x2_mag,y_mag,z_mag,tot_mag,tot_en,formula,num_valence
27,Co,58.933195,4,9,hex,1.7,1.88,8.86,9.0,2.0,0.0,7.0,0.0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7.0,2.0,0.0,5.0,0.0,5,B,10.811,2,13,rho,1.2,2.04,2.34,3.0,2.0,1.0,0.0,0.0,0.9444444444444444,1.4166666666666667,1.5,l21,5.3504587706,0.784,0.784,2.502,-0.042,4.028,-29.5441007,Co2MnB,28.0
27,Co,58.933195,4,9,hex,1.7,1.88,8.86,9.0,2.0,0.0,7.0,0.0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7.0,2.0,0.0,5.0,0.0,5,B,10.811,2,13,rho,1.2,2.04,2.34,3.0,2.0,1.0,0.0,0.0,0.9444444444444444,1.4166666666666667,1.5,xa,5.2932395707,0.381,0.174,-0.137,0.008,0.426,-28.95943885,Co2MnB,28.0
27,Co,58.933195,4,9,hex,1.7,1.88,8.86,9.0,2.0,0.0,7.0,0.0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7.0,2.0,0.0,5.0,0.0,13,Al,26.9815386,3,13,fcc,1.8,1.61,2.698,3.0,2.0,1.0,0.0,0.0,0.9444444444444444,0.9444444444444444,1.0,l21,5.6852904653,0.739,0.739,2.703,-0.043,4.138,-28.19137579,Co2MnAl,28.0
27,Co,58.933195,4,9,hex,1.7,1.88,8.86,9.0,2.0,0.0,7.0,0.0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7.0,2.0,0.0,5.0,0.0,13,Al,26.9815386,3,13,fcc,1.8,1.61,2.698,3.0,2.0,1.0,0.0,0.0,0.9444444444444444,0.9444444444444444,1.0,xa,5.7401204753,1.692,1.105,2.588,-0.034,5.351,-27.36494191,Co2MnAl,28.0
27,Co,58.933195,4,9,hex,1.7,1.88,8.86,9.0,2.0,0.0,7.0,0.0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7.0,2.0,0.0,5.0,0.0,31,Ga,69.723,4,13,orth,1.8,1.81,5.907,3.0,2.0,1.0,10.0,0.0,0.9444444444444444,0.9444444444444444,1.0,l21,5.7035632902,0.721,0.721,2.761,-0.117,4.085,-26.89229008,Co2MnGa,28.0
27,Co,58.933195,4,9,hex,1.7,1.88,8.86,9.0,2.0,0.0,7.0,0.0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7.0,2.0,0.0,5.0,0.0,31,Ga,69.723,4,13,orth,1.8,1.81,5.907,3.0,2.0,1.0,10.0,0.0,0.9444444444444444,0.9444444444444444,1.0,xa,5.7633642339,1.681,1.142,2.754,-0.085,5.492,-26.19276861,Co2MnGa,28.0
27,Co,58.933195,4,9,hex,1.7,1.88,8.86,9.0,2.0,0.0,7.0,0.0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7.0,2.0,0.0,5.0,0.0,49,In,114.818,5,13,tet,2.0,1.78,7.31,3.0,2.0,1.0,10.0,0.0,0.9444444444444444,0.85,0.9,l21,5.9712210877,0.799,0.799,3.022,-0.178,4.44,-25.30307353,Co2MnIn,28.0
27,Co,58.933195,4,9,hex,1.7,1.88,8.86,9.0,2.0,0.0,7.0,0.0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7.0,2.0,0.0,5.0,0.0,49,In,114.818,5,13,tet,2.0,1.78,7.31,3.0,2.0,1.0,10.0,0.0,0.9444444444444444,0.85,0.9,xa,6.0523192384,1.734,1.332,3.223,-0.107,6.182,-24.71466517,Co2MnIn,28.0
27,Co,58.933195,4,9,hex,1.7,1.88,8.86,9.0,2.0,0.0,7.0,0.0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7.0,2.0,0.0,5.0,0.0,14,Si,28.0855,3,14,fcc,1.5,1.9,2.3296,4.0,2.0,2.0,0.0,0.0,0.9444444444444444,1.1333333333333333,1.2,l21,5.6181729651,1.03,1.03,2.996,-0.029,5.027,-30.1978185,Co2MnSi,29.0
27,Co,58.933195,4,9,hex,1.7,1.88,8.86,9.0,2.0,0.0,7.0,0.0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7.0,2.0,0.0,5.0,0.0,14,Si,28.0855,3,14,fcc,1.5,1.9,2.3296,4.0,2.0,2.0,0.0,0.0,0.9444444444444444,1.1333333333333333,1.2,xa,5.6001033319,1.643,0.86,1.782,-0.025,4.26,-29.31931124,Co2MnSi,29.0
