atom_num_X,symbol_X,mass_X,period_X,group_X,stable_phase_X,atomic_radius_X,negativity_X,density_X,tot_val_X,s_val_X,p_val_X,d_val_X,f_val_X,atom_num_Y,symbol_Y,mass_Y,period_Y,group_Y,stable_phase_Y,atomic_radius_Y,negativity_Y,density_Y,tot_val_Y,s_val_Y,p_val_Y,d_val_Y,f_val_Y,atom_num_Z,symbol_Z,mass_Z,period_Z,group_Z,stable_phase_Z,atomic_radius_Z,negativity_Z,density_Z,tot_val_Z,s_val_Z,p_val_Z,d_val_Z,f_val_Z,ratio_XY,ratio_XZ,ratio_YZ,lat_type,lat,x1_mag,x2_mag,y_mag,z_mag,tot_mag,tot_en,formula,num_valence
28,Ni,58.6934,4,10,fcc,1.6,1.91,8.912,10,1,0,9,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,5,B,10.811,2,13,rho,1.2,2.04,2.34,3,2,1,0,0,0.888888889,1.333333333,1.5,l21,5.424774214,0.367,0.367,3.117,-0.046,3.805,-26.09572749,Ni2MnB,30
28,Ni,58.6934,4,10,fcc,1.6,1.91,8.912,10,1,0,9,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,5,B,10.811,2,13,rho,1.2,2.04,2.34,3,2,1,0,0,0.888888889,1.333333333,1.5,xa,5.372752917,0.292,0.141,2.175,-0.061,2.547,-26.1164243,Ni2MnB,30
28,Ni,58.6934,4,10,fcc,1.6,1.91,8.912,10,1,0,9,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,13,Al,26.9815386,3,13,fcc,1.8,1.61,2.698,3,2,1,0,0,0.888888889,0.888888889,1,l21,5.771673596,0.399,0.399,3.345,-0.028,4.115,-25.3218748,Ni2MnAl,30
28,Ni,58.6934,4,10,fcc,1.6,1.91,8.912,10,1,0,9,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,13,Al,26.9815386,3,13,fcc,1.8,1.61,2.698,3,2,1,0,0,0.888888889,0.888888889,1,xa,5.743353851,0.429,0.051,2.777,-0.032,3.225,-24.71294249,Ni2MnAl,30
28,Ni,58.6934,4,10,fcc,1.6,1.91,8.912,10,1,0,9,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,31,Ga,69.723,4,13,orth,1.8,1.81,5.907,3,2,1,0,0,0.888888889,0.888888889,1,l21,5.783065311,0.365,0.365,3.377,-0.073,4.034,-24.0668199,Ni2MnGa,30
28,Ni,58.6934,4,10,fcc,1.6,1.91,8.912,10,1,0,9,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,31,Ga,69.723,4,13,orth,1.8,1.81,5.907,3,2,1,0,0,0.888888889,0.888888889,1,xa,5.768124195,0.376,0.086,2.969,-0.071,3.36,-23.60084497,Ni2MnGa,30
28,Ni,58.6934,4,10,fcc,1.6,1.91,8.912,10,1,0,9,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,49,In,114.818,5,13,tet,2,1.78,7.31,3,2,1,0,0,0.888888889,0.8,0.9,l21,6.04005867,0.342,0.342,3.55,-0.102,4.13,-22.90015646,Ni2MnIn,30
28,Ni,58.6934,4,10,fcc,1.6,1.91,8.912,10,1,0,9,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,49,In,114.818,5,13,tet,2,1.78,7.31,3,2,1,0,0,0.888888889,0.8,0.9,xa,6.041903861,0.366,0.135,3.364,-0.069,3.795,-22.28331644,Ni2MnIn,30
28,Ni,58.6934,4,10,fcc,1.6,1.91,8.912,10,1,0,9,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,14,Si,28.0855,3,14,fcc,1.5,1.9,2.3296,4,2,2,0,0,0.888888889,1.066666667,1.2,l21,5.68067444,0.254,0.254,3.317,-0.033,3.793,-26.84173308,Ni2MnSi,31
28,Ni,58.6934,4,10,fcc,1.6,1.91,8.912,10,1,0,9,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,14,Si,28.0855,3,14,fcc,1.5,1.9,2.3296,4,2,2,0,0,0.888888889,1.066666667,1.2,xa,5.618875968,0.449,0.051,2.141,-0.039,2.601,-26.60090632,Ni2MnSi,31
