atom_num_X,symbol_X,mass_X,period_X,group_X,stable_phase_X,atomic_radius_X,negativity_X,density_X,tot_val_X,s_val_X,p_val_X,d_val_X,f_val_X,atom_num_Y,symbol_Y,mass_Y,period_Y,group_Y,stable_phase_Y,atomic_radius_Y,negativity_Y,density_Y,tot_val_Y,s_val_Y,p_val_Y,d_val_Y,f_val_Y,atom_num_Z,symbol_Z,mass_Z,period_Z,group_Z,stable_phase_Z,atomic_radius_Z,negativity_Z,density_Z,tot_val_Z,s_val_Z,p_val_Z,d_val_Z,f_val_Z,ratio_XY,ratio_XZ,ratio_YZ,lat_type,lat,x1_mag,x2_mag,y_mag,z_mag,tot_mag,tot_en,formula,num_valence
22,Ti,47.867,4,4,hex,2,1.54,4.54,4,1,0,3,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,5,B,10.811,2,13,rho,1.2,2.04,2.34,3,2,1,0,0,1.111111111,1.666666667,1.5,l21,5.778950939,0.004,0.004,-0.014,0,-0.005,-31.86605041,Ti2MnB,18
22,Ti,47.867,4,4,hex,2,1.54,4.54,4,1,0,3,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,5,B,10.811,2,13,rho,1.2,2.04,2.34,3,2,1,0,0,1.111111111,1.666666667,1.5,xa,5.720531702,0.163,0.177,-0.356,0,-0.016,-31.13835078,Ti2MnB,18
22,Ti,47.867,4,4,hex,2,1.54,4.54,4,1,0,3,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,13,Al,26.9815386,3,13,fcc,1.8,1.61,2.698,3,2,1,0,0,1.111111111,1.111111111,1,l21,6.159494653,0.044,0.044,-0.143,0,-0.056,-29.50996186,Ti2MnAl,18
22,Ti,47.867,4,4,hex,2,1.54,4.54,4,1,0,3,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,13,Al,26.9815386,3,13,fcc,1.8,1.61,2.698,3,2,1,0,0,1.111111111,1.111111111,1,xa,6.132790372,0,-0.001,0.001,0,0,-29.0875297,Ti2MnAl,18
22,Ti,47.867,4,4,hex,2,1.54,4.54,4,1,0,3,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,31,Ga,69.723,4,13,orth,1.8,1.81,5.907,3,2,1,0,0,1.111111111,1.111111111,1,l21,6.138924597,0.103,0.103,-0.343,0.008,-0.129,-28.81199326,Ti2MnGa,18
22,Ti,47.867,4,4,hex,2,1.54,4.54,4,1,0,3,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,31,Ga,69.723,4,13,orth,1.8,1.81,5.907,3,2,1,0,0,1.111111111,1.111111111,1,xa,6.208887864,1.071,1.153,-2.551,0.02,-0.307,-28.54293365,Ti2MnGa,18
22,Ti,47.867,4,4,hex,2,1.54,4.54,4,1,0,3,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,49,In,114.818,5,13,tet,2,1.78,7.31,3,2,1,0,0,1.111111111,1,0.9,l21,6.390627224,0.38,0.38,-1.067,0.055,-0.252,-27.25027821,Ti2MnIn,18
22,Ti,47.867,4,4,hex,2,1.54,4.54,4,1,0,3,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,49,In,114.818,5,13,tet,2,1.78,7.31,3,2,1,0,0,1.111111111,1,0.9,xa,6.476613028,1.204,1.285,-2.956,0.038,-0.429,-27.41201062,Ti2MnIn,18
22,Ti,47.867,4,4,hex,2,1.54,4.54,4,1,0,3,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,14,Si,28.0855,3,14,fcc,1.5,1.9,2.3296,4,2,2,0,0,1.111111111,1.333333333,1.2,l21,6.056642874,0.286,0.286,-0.738,-0.011,-0.177,-31.59980219,Ti2MnSi,19
22,Ti,47.867,4,4,hex,2,1.54,4.54,4,1,0,3,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,14,Si,28.0855,3,14,fcc,1.5,1.9,2.3296,4,2,2,0,0,1.111111111,1.333333333,1.2,xa,5.995173708,-0.572,-0.974,0.78,0.006,-0.76,-31.47091133,Ti2MnSi,19
22,Ti,47.867,4,4,hex,2,1.54,4.54,4,1,0,3,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,32,Ge,72.64,4,14,fcc,1.5,2.01,5.323,4,2,2,0,0,1.111111111,1.333333333,1.2,l21,6.164431658,0.386,0.386,-1.507,-0.024,-0.759,-30.38373463,Ti2MnGe,19
22,Ti,47.867,4,4,hex,2,1.54,4.54,4,1,0,3,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,32,Ge,72.64,4,14,fcc,1.5,2.01,5.323,4,2,2,0,0,1.111111111,1.333333333,1.2,xa,6.082347141,0.005,0.003,-0.01,0,-0.002,-30.05126074,Ti2MnGe,19
22,Ti,47.867,4,4,hex,2,1.54,4.54,4,1,0,3,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,50,Sn,118.71,5,14,tet,1.7,1.96,7.287,4,2,2,0,0,1.111111111,1.176470588,1.058823529,l21,6.434344609,0.55,0.55,-2.055,-0.014,-0.969,-28.93689057,Ti2MnSn,19
22,Ti,47.867,4,4,hex,2,1.54,4.54,4,1,0,3,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,50,Sn,118.71,5,14,tet,1.7,1.96,7.287,4,2,2,0,0,1.111111111,1.176470588,1.058823529,xa,6.339203725,0.214,-0.217,-0.761,0.015,-0.75,-28.74305682,Ti2MnSn,19
22,Ti,47.867,4,4,hex,2,1.54,4.54,4,1,0,3,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,82,Pb,207.2,6,14,fcc,1.8,2.33,11.342,4,2,2,0,0,1.111111111,1.111111111,1,l21,6.532897652,0.651,0.651,-2.337,-0.019,-1.054,-27.65443813,Ti2MnPb,19
22,Ti,47.867,4,4,hex,2,1.54,4.54,4,1,0,3,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,82,Pb,207.2,6,14,fcc,1.8,2.33,11.342,4,2,2,0,0,1.111111111,1.111111111,1,xa,6.507966214,-1.182,-1.457,2.219,-0.041,-0.461,-27.59338774,Ti2MnPb,19
22,Ti,47.867,4,4,hex,2,1.54,4.54,4,1,0,3,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,33,As,74.9216,4,15,rho,1.3,2.18,5.776,5,2,3,0,0,1.111111111,1.538461538,1.384615385,l21,6.176296994,0.721,0.721,-1.963,-0.051,-0.573,-30.52943436,Ti2MnAs,20
22,Ti,47.867,4,4,hex,2,1.54,4.54,4,1,0,3,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,33,As,74.9216,4,15,rho,1.3,2.18,5.776,5,2,3,0,0,1.111111111,1.538461538,1.384615385,xa,6.066868224,-0.417,-1.105,0.023,0.004,-1.495,-30.13349865,Ti2MnAs,20
22,Ti,47.867,4,4,hex,2,1.54,4.54,4,1,0,3,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,51,Sb,121.76,5,15,rho,1.5,2.05,6.685,5,2,3,0,0,1.111111111,1.333333333,1.2,l21,6.446014769,0.938,0.938,-2.353,-0.046,-0.524,-29.33866723,Ti2MnSb,20
22,Ti,47.867,4,4,hex,2,1.54,4.54,4,1,0,3,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,51,Sb,121.76,5,15,rho,1.5,2.05,6.685,5,2,3,0,0,1.111111111,1.333333333,1.2,xa,6.316286311,-0.518,-1.263,0.189,0.003,-1.589,-29.24499782,Ti2MnSb,20
22,Ti,47.867,4,4,hex,2,1.54,4.54,4,1,0,3,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,83,Bi,208.9804,6,15,rho,1.6,2.02,9.807,5,2,3,0,0,1.111111111,1.25,1.125,l21,6.600098503,1.065,1.065,-2.611,-0.029,-0.51,-28.00357795,Ti2MnBi,20
22,Ti,47.867,4,4,hex,2,1.54,4.54,4,1,0,3,0,25,Mn,54.938045,4,7,bcc,1.8,1.55,7.44,7,1,0,6,0,83,Bi,208.9804,6,15,rho,1.6,2.02,9.807,5,2,3,0,0,1.111111111,1.25,1.125,xa,6.454425898,-0.623,-1.34,0.437,-0.026,-1.553,-27.7283803,Ti2MnBi,20
22,Ti,47.867,4,4,hex,2,1.54,4.54,4,1,0,3,0,21,Sc,44.955912,4,3,hex,2.1,1.36,2.989,3,1,0,2,0,5,B,10.811,2,13,rho,1.2,2.04,2.34,3,2,1,0,0,0.952380952,1.666666667,1.75,l21,6.146408266,0,0,-0.002,0,-0.001,-26.95877822,Ti2ScB,14
22,Ti,47.867,4,4,hex,2,1.54,4.54,4,1,0,3,0,21,Sc,44.955912,4,3,hex,2.1,1.36,2.989,3,1,0,2,0,5,B,10.811,2,13,rho,1.2,2.04,2.34,3,2,1,0,0,0.952380952,1.666666667,1.75,xa,6.232760209,-1.398,-0.669,-0.226,0.053,-2.24,-27.2489765,Ti2ScB,14
22,Ti,47.867,4,4,hex,2,1.54,4.54,4,1,0,3,0,21,Sc,44.955912,4,3,hex,2.1,1.36,2.989,3,1,0,2,0,13,Al,26.9815386,3,13,fcc,1.8,1.61,2.698,3,2,1,0,0,0.952380952,1.111111111,1.166666667,l21,6.611127137,0.001,0.001,-0.002,0,0,-25.80793362,Ti2ScAl,14
