atom_num_X,atom_num_Y,atom_num_Z,d_val_X,d_val_Y,d_val_Z,num_valence,tot_mag
28,21,14,9.0,2.0,0.0,27.0,0.0
26,25,49,7.0,6.0,0.0,26.0,7.956
25,21,50,5.0,1.0,10.0,21.0,-5.5
25,25,83,5.0,5.0,10.0,26.0,2.535
21,26,32,2.0,7.0,0.0,18.0,-1.482
23,30,5,4.0,10.0,0.0,25.0,0.001
23,26,14,4.0,7.0,0.0,22.0,-1.836
27,24,33,7.0,5.0,10.0,29.0,4.886
28,26,5,9.0,7.0,0.0,31.0,2.547
24,26,13,5.0,7.0,0.0,23.0,-0.998
25,25,32,5.0,5.0,10.0,25.0,0.964
25,23,32,5.0,3.0,10.0,23.0,-0.978
28,23,32,9.0,4.0,0.0,29.0,0.004
21,23,50,2.0,4.0,0.0,15.0,-2.337
23,28,82,4.0,9.0,0.0,24.0,0.083
27,21,49,7.0,1.0,10.0,24.0,0.002
26,27,5,7.0,8.0,0.0,28.0,4.228
23,29,31,4.0,10.0,0.0,24.0,0.118
25,30,49,5.0,10.0,10.0,29.0,6.475
23,21,32,4.0,2.0,0.0,17.0,-0.401
24,27,33,5.0,8.0,0.0,26.0,1.99
25,26,83,5.0,6.0,10.0,27.0,1.479
27,25,33,7.0,5.0,10.0,30.0,5.924
22,23,32,3.0,4.0,0.0,17.0,-0.003
21,27,49,2.0,8.0,0.0,18.0,-0.889
28,26,33,9.0,7.0,0.0,33.0,2.851
25,24,49,5.0,5.0,10.0,23.0,-3.716
24,21,49,5.0,2.0,0.0,18.0,-0.003
22,27,49,3.0,8.0,0.0,20.0,-1.633
27,23,83,7.0,3.0,10.0,28.0,0.024
25,29,14,5.0,10.0,0.0,29.0,4.346
23,27,83,4.0,8.0,0.0,24.0,0.112
22,21,51,3.0,2.0,0.0,16.0,-1.338
23,23,50,4.0,4.0,0.0,19.0,-1.079
28,24,31,9.0,5.0,0.0,29.0,3.111
26,21,82,7.0,2.0,0.0,23.0,-4.939
27,25,13,7.0,5.0,0.0,28.0,4.138
28,29,33,9.0,10.0,0.0,36.0,0.001
28,26,31,9.0,7.0,0.0,31.0,3.319
23,25,13,4.0,6.0,0.0,20.0,-1.813
26,24,83,7.0,5.0,0.0,27.0,4.21
25,30,5,5.0,10.0,0.0,29.0,4.248
21,28,14,2.0,9.0,0.0,20.0,0.0
24,24,50,5.0,5.0,0.0,22.0,-1.912
22,29,51,3.0,10.0,0.0,24.0,0.01
22,24,14,3.0,5.0,0.0,18.0,-0.001
26,28,50,7.0,9.0,0.0,30.0,5.192
21,30,51,2.0,10.0,0.0,23.0,-0.005
21,24,31,2.0,5.0,0.0,15.0,-3.1
28,25,13,9.0,6.0,0.0,30.0,4.115
23,24,83,4.0,5.0,0.0,21.0,-2.693
25,26,51,5.0,6.0,10.0,27.0,0.018
28,24,50,9.0,5.0,0.0,30.0,3.289
26,24,14,7.0,5.0,0.0,26.0,1.997
23,25,5,4.0,6.0,0.0,20.0,-0.006
23,21,33,4.0,2.0,0.0,18.0,-0.064
21,28,83,2.0,9.0,0.0,21.0,-0.4
28,24,5,9.0,5.0,0.0,29.0,0.022
21,21,83,2.0,2.0,0.0,14.0,-0.856
27,23,50,7.0,3.0,10.0,27.0,2.965
25,24,51,5.0,5.0,10.0,25.0,0.997
21,29,31,2.0,10.0,0.0,20.0,0.0
25,23,31,5.0,3.0,10.0,22.0,-1.986
28,23,83,9.0,4.0,0.0,30.0,1.67
22,23,33,3.0,4.0,0.0,18.0,0.0
26,27,51,7.0,8.0,0.0,30.0,5.903
21,27,50,2.0,8.0,0.0,19.0,-1.136
22,26,49,3.0,7.0,0.0,19.0,-1.217
25,21,49,5.0,1.0,10.0,20.0,-5.764
24,24,31,5.0,5.0,0.0,21.0,-2.708
26,23,83,7.0,4.0,0.0,26.0,2.284
25,29,83,5.0,10.0,10.0,30.0,6.883
28,25,83,9.0,6.0,0.0,32.0,4.174
22,28,82,3.0,9.0,0.0,22.0,-0.102
26,21,50,7.0,2.0,0.0,23.0,-0.95
22,21,33,3.0,2.0,0.0,16.0,-1.385
21,28,31,2.0,9.0,0.0,19.0,-0.002
24,25,51,5.0,6.0,0.0,24.0,0.077
28,21,49,9.0,2.0,0.0,26.0,0.001
22,25,5,3.0,6.0,0.0,18.0,-0.005
23,23,49,4.0,4.0,0.0,18.0,0.0
21,26,51,2.0,7.0,0.0,19.0,-1.481
25,26,49,5.0,6.0,10.0,25.0,0.653
28,29,14,9.0,10.0,0.0,35.0,0.0
27,25,83,7.0,5.0,10.0,30.0,5.922
24,23,50,5.0,4.0,0.0,21.0,-2.892
23,29,82,4.0,10.0,0.0,25.0,2.448
23,30,14,4.0,10.0,0.0,26.0,1.046
25,23,33,5.0,3.0,10.0,24.0,0.0
21,28,51,2.0,9.0,0.0,21.0,-0.336
24,29,32,5.0,10.0,0.0,27.0,0.638
25,21,31,5.0,1.0,10.0,20.0,-3.945
21,30,32,2.0,10.0,0.0,22.0,-0.001
23,26,32,4.0,7.0,0.0,22.0,-1.854
23,26,49,4.0,7.0,0.0,21.0,-2.742
23,27,33,4.0,8.0,0.0,24.0,0.8
28,25,82,9.0,6.0,0.0,31.0,4.057
22,25,50,3.0,6.0,0.0,19.0,-0.969
23,23,83,4.0,4.0,0.0,20.0,-1.779
21,30,83,2.0,10.0,0.0,23.0,-0.002
24,28,82,5.0,9.0,0.0,26.0,0.457
21,24,49,2.0,5.0,0.0,15.0,-3.138
23,25,83,4.0,6.0,0.0,22.0,-0.983
21,21,13,2.0,2.0,0.0,12.0,-0.422
25,25,51,5.0,5.0,10.0,26.0,1.938
24,25,33,5.0,6.0,0.0,24.0,0.102
25,21,83,5.0,1.0,10.0,22.0,-5.858
21,24,51,2.0,5.0,0.0,17.0,-2.879
22,30,50,3.0,10.0,0.0,24.0,0.063
26,28,83,7.0,9.0,0.0,31.0,5.489
27,24,32,7.0,5.0,10.0,28.0,3.973
21,28,49,2.0,9.0,0.0,19.0,-0.001
24,25,82,5.0,6.0,0.0,23.0,-0.876
28,24,82,9.0,5.0,0.0,30.0,3.354
28,23,82,9.0,4.0,0.0,29.0,1.18
22,27,13,3.0,8.0,0.0,20.0,-1.674
27,21,82,7.0,1.0,10.0,25.0,1.193
23,28,50,4.0,9.0,0.0,24.0,0.024
24,24,49,5.0,5.0,0.0,21.0,-2.814
24,23,31,5.0,4.0,0.0,20.0,-2.633
22,26,50,3.0,7.0,0.0,20.0,-2.047
21,28,5,2.0,9.0,0.0,19.0,-0.015
24,21,5,5.0,2.0,0.0,18.0,-0.036
25,27,32,5.0,7.0,10.0,27.0,2.976
26,28,82,7.0,9.0,0.0,30.0,5.358
21,21,14,2.0,2.0,0.0,13.0,-0.885
22,21,32,3.0,2.0,0.0,15.0,-1.636
28,30,31,9.0,10.0,0.0,35.0,0.0
23,28,51,4.0,9.0,0.0,25.0,0.75
25,24,32,5.0,5.0,10.0,24.0,0.058
25,28,31,5.0,8.0,10.0,27.0,2.212
25,26,31,5.0,6.0,10.0,25.0,1.008
25,28,83,5.0,8.0,10.0,29.0,7.388
22,24,32,3.0,5.0,0.0,18.0,-0.003
21,27,14,2.0,8.0,0.0,19.0,-0.921
28,21,31,9.0,2.0,0.0,26.0,0.0
