id,formula,X,Y,Z,struct,dE,form_en,lat,ahc,Tc,efermi,polarization,magX1,magX2,magY,magZ,magsum,ne,negativityX,negativityY,negativityZ,numX,numY,numZ,radiusX,radiusY,radiusZ,rXY,rYZ,rXZ,weightX,weightY,weightZ,densityX,densityY,densityZ,dipoleX,dipoleY,dipoleZ,latX,latY,latZ,structX,structY,structZ,periodX,periodY,periodZ,groupX,groupY,groupZ
1687,Rh2MnGa,Rh,Mn,Ga,l21,2.078409,0.56885625,6.039803483,1846.74,130.502,8.8227,0.92736,0.329,0.329,3.456,-0.049,4.065,28,2.28,1.55,1.81,45,25,31,135,140,130,0.964286,1.076923,1.038462,102.9055,54.938044,69.723,12.4,7.3,5.91,66,68,50,3.8,8.89,4.51,FCC,CUB,ORC,5,4,4,9,7,13
1738,Rh2PtAl,Rh,Pt,Al,l21,0.135488,0.3797425,6.154397208,1817.5889,57.0015,10.623,0.337122,0.393,0.393,0.156,-0.009,0.933,31,2.28,2.2,1.61,45,78,13,135,135,125,1,1.08,1.08,102.9055,195.084,26.981538,12.4,21.5,2.7,66,48,57.8,3.8,3.92,4.05,FCC,FCC,FCC,5,6,3,9,10,13
623,Fe2IrIn,Fe,Ir,In,l21,0.162173,-0.1714605,6.163781929,1813.8564,378.002,8.7723,0.662076,2.589,2.589,0.756,-0.119,5.815,28,1.83,2.2,1.78,26,77,49,140,135,155,1.037037,0.870968,0.903226,55.845,192.217,114.818,7.87,22.5622,7.31,62,54,65,2.87,3.84,4.59,BCC,FCC,TET,4,6,5,8,9,13
1685,Rh2MnB,Rh,Mn,B,l21,1.921957,0.02917525,5.739961924,1765.1151,0,10.6496,0.89994,0.36,0.36,3.235,-0.002,3.953,28,2.28,1.55,2.04,45,25,5,135,140,85,0.964286,1.647059,1.588235,102.9055,54.938044,10.81,12.4,7.3,2.34,66,68,20.5,3.8,8.89,8.73,FCC,CUB,TET,5,4,2,9,7,13
42,Co2CoSb,Co,Co,Sb,xa,-0.000337,-0.20458625,5.888262015,1754.8701,178.502,10.8623,0.874339,1.493,-0.016,-0.015,-0.001,1.461,32,1.88,1.88,2.05,27,27,51,135,135,145,1,0.931034,0.931034,58.933194,58.933194,121.76,8.86,8.86,6.68,55,55,43,2.51,2.51,4.51,HEX,HEX,RHL,4,4,5,9,9,15
1683,Rh2MnAl,Rh,Mn,Al,l21,2.176885,0.7079635,6.020980301,1726.2992,132.002,10.1563,0.832556,0.338,0.338,3.418,-0.019,4.075,28,2.28,1.55,1.61,45,25,13,135,140,125,0.964286,1.12,1.08,102.9055,54.938044,26.981538,12.4,7.3,2.7,66,68,57.8,3.8,8.89,4.05,FCC,CUB,FCC,5,4,3,9,7,13
100,Co2MnAl,Co,Mn,Al,l21,1.487847,0.3847165,5.685289842,1646.5332,550.502,9.2852,0.62973,0.737,0.737,2.704,-0.043,4.135,28,1.88,1.55,1.61,27,25,13,135,140,125,0.964286,1.12,1.08,58.933194,54.938044,26.981538,8.86,7.3,2.7,55,68,57.8,2.51,8.89,4.05,HEX,CUB,FCC,4,4,3,9,7,13
1038,Mn2ZnBi,Mn,Zn,Bi,l21,0.186806,-0.35890425,6.548333467,1636.5931,0,7.3208,0.63629,3.306,3.306,-0.069,-0.13,6.413,21,1.55,1.65,1.9,25,30,83,140,135,160,1.037037,0.84375,0.875,54.938044,65.38,208.9804,7.3,7.134,9.79,68,38.67,48,8.89,2.66,4.75,CUB,HEX,RHL,4,4,6,7,12,15
624,Fe2IrPb,Fe,Ir,Pb,l21,0.188859,-0.48110225,6.252737377,1612.0247,223.502,8.8866,0.632167,2.457,2.457,0.643,-0.111,5.446,29,1.83,2.2,1.8,26,77,82,140,135,180,1.037037,0.75,0.777778,55.845,192.217,207.2,7.87,22.5622,11.3,62,54,47,2.87,3.84,4.95,BCC,FCC,FCC,4,6,6,8,9,14
711,Fe2RuIn,Fe,Ru,In,l21,0.194034,-0.259303,6.14520482,1532.5123,0,9.3259,0.490226,2.58,2.58,1.191,-0.152,6.199,27,1.83,2.2,1.78,26,44,49,140,130,155,1.076923,0.83871,0.903226,55.845,101.07,114.818,7.87,12.1,7.31,62,72,65,2.87,2.7,4.59,BCC,HEX,TET,4,5,5,8,8,13
2075,Ru2WPb,Ru,W,Pb,l21,0.878436,-0.592894,6.42846614,1447.0352,127.502,11.0202,0.621697,0.507,0.507,0.594,0,1.608,26,2.2,1.7,1.8,44,74,82,130,135,180,0.962963,0.75,0.722222,101.07,183.84,207.2,12.1,19.3,11.3,72,68,47,2.7,3.16,4.95,HEX,BCC,FCC,5,6,6,8,6,14
818,Mn2CdBi,Mn,Cd,Bi,l21,0.314222,-0.38384525,6.815444468,1444.2645,0,6.6876,0.555508,3.566,3.566,-0.05,-0.134,6.948,21,1.55,1.69,1.9,25,48,83,140,155,160,0.903226,0.96875,0.875,54.938044,112.414,208.9804,7.3,8.69,9.79,68,46,48,8.89,2.98,4.75,CUB,HEX,RHL,4,5,6,7,12,15
1742,Rh2PtGa,Rh,Pt,Ga,l21,0.228781,0.244908,6.165853752,1420.0182,54.0015,9.3873,0.248987,0.332,0.332,0.123,-0.016,0.771,31,2.28,2.2,1.81,45,78,31,135,135,130,1,1.038462,1.038462,102.9055,195.084,69.723,12.4,21.5,5.91,66,48,50,3.8,3.92,4.51,FCC,FCC,ORC,5,6,4,9,10,13
1744,Rh2PtIn,Rh,Pt,In,l21,0.234183,0.14527075,6.344606104,1329.2295,67.5015,9.706,0.35357,0.388,0.388,0.155,-0.024,0.907,31,2.28,2.2,1.78,45,78,49,135,135,155,1,0.870968,0.870968,102.9055,195.084,114.818,12.4,21.5,7.31,66,48,65,3.8,3.92,4.59,FCC,FCC,TET,5,6,5,9,10,13
2540,Ti2PtSn,Ti,Pt,Sn,l21,0.267831,0.4284955,6.571706175,1319.3052,1117.5,7.9205,0.386732,0.815,0.815,0.141,0.02,1.791,22,1.54,2.2,1.96,22,78,50,140,135,145,1.037037,0.931034,0.965517,47.867,195.084,118.71,4.506,21.5,7.287,100,48,53,2.95,3.92,5.82,HEX,FCC,TET,4,6,5,4,10,14
629,Fe2MnAs,Fe,Mn,As,l21,0.300627,-0.02484775,5.731387547,1317.6654,337.502,10.7855,0.158788,-1.089,-1.089,2.862,0.043,0.727,28,1.83,1.55,2.18,26,25,33,140,140,115,1,1.217391,1.217391,55.845,54.938044,74.921595,7.87,7.3,5.75,62,68,30,2.87,8.89,4.13,BCC,CUB,RHL,4,4,4,8,7,15
807,Mn2AuBi,Mn,Au,Bi,l21,0.255631,-0.22104975,6.684904071,1315.0273,0,8.5048,0.617394,3.64,3.64,0.026,-0.138,7.168,20,1.55,2.4,1.9,25,79,83,140,135,160,1.037037,0.84375,0.875,54.938044,196.966569,208.9804,7.3,19.3,9.79,68,36,48,8.89,4.08,4.75,CUB,FCC,RHL,4,6,6,7,11,15
1968,Ru2MoSn,Ru,Mo,Sn,l21,0.662312,-0.1458585,6.336194362,1303.2168,79.5015,11.3922,0.821149,0.388,0.388,0.916,-0.016,1.676,26,2.2,2.16,1.96,44,42,50,130,145,145,0.896552,1,0.896552,101.07,95.95,118.71,12.1,10.2,7.287,72,87,53,2.7,3.15,5.82,HEX,BCC,TET,5,5,5,8,6,14
991,Mn2TiAl,Mn,Ti,Al,l21,1.028267,0.3973505,5.945854448,1267.1713,508.502,8.4867,0.813791,1.842,1.842,-0.632,-0.041,3.011,21,1.55,1.54,1.61,25,22,13,140,140,125,1,1.12,1.12,54.938044,47.867,26.981538,7.3,4.506,2.7,68,100,57.8,8.89,2.95,4.05,CUB,HEX,FCC,4,4,3,7,4,13
995,Mn2TiGa,Mn,Ti,Ga,l21,0.860036,0.34436525,5.939107235,1264.3163,544.502,7.3816,0.794897,1.861,1.861,-0.675,-0.086,2.961,21,1.55,1.54,1.81,25,22,31,140,140,130,1,1.076923,1.076923,54.938044,47.867,69.723,7.3,4.506,5.91,68,100,50,8.89,2.95,4.51,CUB,HEX,ORC,4,4,4,7,4,13
1939,Ru2IrBi,Ru,Ir,Bi,l21,0.387899,-0.599807,6.433783583,1244.6731,150.002,10.6557,0.16794,0.623,0.623,0.33,-0.025,1.551,30,2.2,2.2,1.9,44,77,83,130,135,160,0.962963,0.84375,0.8125,101.07,192.217,208.9804,12.1,22.5622,9.79,72,54,48,2.7,3.84,4.75,HEX,FCC,RHL,5,6,6,8,9,15
1651,Rh2FeAs,Rh,Fe,As,l21,0.377962,0.05429025,6.079714004,1236.3313,0,10.6343,0.455754,0.344,0.344,3.036,0.009,3.733,31,2.28,1.83,2.18,45,26,33,135,140,115,0.964286,1.217391,1.173913,102.9055,55.845,74.921595,12.4,7.87,5.75,66,62,30,3.8,2.87,4.13,FCC,BCC,RHL,5,4,4,9,8,15
2196,Sc2HfPb,Sc,Hf,Pb,l21,0.152003,-0.0226995,7.172451368,1217.1866,0,5.1511,0.22829,0.194,0.194,0.552,-0.031,0.909,14,1.36,1.3,1.8,21,72,82,160,155,180,1.032258,0.861111,0.888889,44.955908,178.49,207.2,2.99,13.3,11.3,97,103,47,3.31,3.2,4.95,HEX,HEX,FCC,4,6,6,3,4,14
689,Fe2PtIn,Fe,Pt,In,l21,0.112577,-0.07315475,6.204368444,1210.2368,0,9.3193,0.7391,2.609,2.609,0.318,-0.153,5.383,29,1.83,2.2,1.78,26,78,49,140,135,155,1.037037,0.870968,0.903226,55.845,195.084,114.818,7.87,21.5,7.31,62,48,65,2.87,3.92,4.59,BCC,FCC,TET,4,6,5,8,10,13
2019,Ru2RhIn,Ru,Rh,In,xa,-0.030458,-0.27288,6.29310186,1204.4625,0,10.2965,0.062089,0.58,-0.138,-0.026,0.011,0.427,28,2.2,2.28,1.78,44,45,49,130,135,155,0.962963,0.870968,0.83871,101.07,102.9055,114.818,12.1,12.4,7.31,72,66,65,2.7,3.8,4.59,HEX,FCC,TET,5,5,5,8,9,13
1731,Rh2PdGa,Rh,Pd,Ga,l21,0.199123,0.2554175,6.13994536,1198.0464,127.502,8.8566,0.272802,0.489,0.489,0.214,-0.029,1.163,31,2.28,2.2,1.81,45,46,31,135,140,130,0.964286,1.076923,1.038462,102.9055,106.42,69.723,12.4,12,5.91,66,26.14,50,3.8,3.89,4.51,FCC,FCC,ORC,5,5,4,9,10,13
1628,Rh2CrAl,Rh,Cr,Al,l21,1.6175,0.5237525,6.027183041,1194.7069,0,10.6061,0.946472,0.186,0.186,2.586,-0.014,2.944,27,2.28,1.66,1.61,45,24,13,135,140,125,0.964286,1.12,1.08,102.9055,51.9961,26.981538,12.4,7.15,2.7,66,83,57.8,3.8,2.88,4.05,FCC,BCC,FCC,5,4,3,9,6,13
1689,Rh2MnIn,Rh,Mn,In,l21,1.316547,0.3783475,6.276029474,1132.7287,0,8.8716,0.792393,0.316,0.316,3.706,-0.072,4.266,28,2.28,1.55,1.78,45,25,49,135,140,155,0.964286,0.903226,0.870968,102.9055,54.938044,114.818,12.4,7.3,7.31,66,68,65,3.8,8.89,4.59,FCC,CUB,TET,5,4,5,9,7,13
884,Mn2IrBi,Mn,Ir,Bi,xa,-0.28233,-0.227154,6.499089137,1114.1568,0,8.9247,0.061837,-3.634,3.619,0.07,0.004,0.059,28,1.55,2.2,1.9,25,77,83,140,135,160,1.037037,0.84375,0.875,54.938044,192.217,208.9804,7.3,22.5622,9.79,68,54,48,8.89,3.84,4.75,CUB,FCC,RHL,4,6,6,7,9,15
684,Fe2PtAs,Fe,Pt,As,l21,0.518726,-0.05237225,6.026522604,1082.6154,438.002,10.1138,0.444497,2.371,2.371,0.261,-0.071,4.932,31,1.83,2.2,2.18,26,78,33,140,135,115,1.037037,1.173913,1.217391,55.845,195.084,74.921595,7.87,21.5,5.75,62,48,30,2.87,3.92,4.13,BCC,FCC,RHL,4,6,4,8,10,15
227,Co2WIn,Co,W,In,l21,1.395605,-0.23488425,6.09066426,1078.5357,0,9.6249,0.565847,0.856,0.856,0.119,-0.005,1.826,27,1.88,1.7,1.78,27,74,49,135,135,155,1,0.870968,0.870968,58.933194,183.84,114.818,8.86,19.3,7.31,55,68,65,2.51,3.16,4.59,HEX,BCC,TET,4,6,5,9,6,13
1676,Rh2IrGa,Rh,Ir,Ga,xa,-0.136897,0.076199,6.133554529,1046.8719,90.0015,8.9244,0.18416,0.331,0.427,0.432,-0.009,1.181,30,2.28,2.2,1.81,45,77,31,135,135,130,1,1.038462,1.038462,102.9055,192.217,69.723,12.4,22.5622,5.91,66,54,50,3.8,3.84,4.51,FCC,FCC,ORC,5,6,4,9,9,13
104,Co2MnGa,Co,Mn,Ga,l21,1.081345,0.26849025,5.703562895,1045.8798,517.502,7.8461,0.729201,0.722,0.722,2.762,-0.117,4.089,28,1.88,1.55,1.81,27,25,31,135,140,130,0.964286,1.076923,1.038462,58.933194,54.938044,69.723,8.86,7.3,5.91,55,68,50,2.51,8.89,4.51,HEX,CUB,ORC,4,4,4,9,7,13
1280,Ni2WBi,Ni,W,Bi,l21,0.137513,-0.68252775,6.30630213,1041.5199,157.502,9.7557,0.434403,0.139,0.139,0.992,0.011,1.281,31,1.91,1.7,1.9,28,74,83,135,135,160,1,0.84375,0.84375,58.6934,183.84,208.9804,8.9,19.3,9.79,49,68,48,3.52,3.16,4.75,FCC,BCC,RHL,4,6,6,10,6,15
1733,Rh2PdIn,Rh,Pd,In,l21,0.061183,0.1408015,6.337007534,1040.5984,157.502,9.119,0.330236,0.595,0.595,0.297,-0.042,1.445,31,2.28,2.2,1.78,45,46,49,135,140,155,0.964286,0.903226,0.870968,102.9055,106.42,114.818,12.4,12,7.31,66,26.14,65,3.8,3.89,4.59,FCC,FCC,TET,5,5,5,9,10,13
2077,Ru2WSi,Ru,W,Si,l21,0.601788,0.02015625,6.088633449,1036.3909,132.002,12.7813,0.339335,0.474,0.474,0.277,0.018,1.243,26,2.2,1.7,1.9,44,74,14,130,135,110,0.962963,1.227273,1.181818,101.07,183.84,28.085,12.1,19.3,2.3296,72,68,37.3,2.7,3.16,5.43,HEX,BCC,DIA,5,6,3,8,6,14
1963,Ru2MoGe,Ru,Mo,Ge,l21,0.381988,-0.07007,6.150980468,1028.2909,73.5015,11.7039,0.640939,0.371,0.371,0.804,0.01,1.556,26,2.2,2.16,2.01,44,42,32,130,145,125,0.896552,1.16,1.04,101.07,95.95,72.63,12.1,10.2,5.3234,72,87,40,2.7,3.15,5.66,HEX,BCC,DIA,5,5,4,8,6,14
1632,Rh2CrGa,Rh,Cr,Ga,l21,1.411629,0.3918445,6.043850962,1020.3183,0,9.2909,0.85755,0.157,0.157,2.631,-0.037,2.908,27,2.28,1.66,1.81,45,24,31,135,140,130,0.964286,1.076923,1.038462,102.9055,51.9961,69.723,12.4,7.15,5.91,66,83,50,3.8,2.88,4.51,FCC,BCC,ORC,5,4,4,9,6,13
1657,Rh2FePb,Rh,Fe,Pb,l21,0.695576,-0.08453325,6.341254418,1018.7238,0,9.7581,0.706759,0.196,0.196,3.129,-0.021,3.5,30,2.28,1.83,1.8,45,26,82,135,140,180,0.964286,0.777778,0.75,102.9055,55.845,207.2,12.4,7.87,11.3,66,62,47,3.8,2.87,4.95,FCC,BCC,FCC,5,4,6,9,8,14
1727,Rh2PdAl,Rh,Pd,Al,l21,0.171347,0.37842275,6.126794588,1015.6327,97.5015,10.1073,0.258716,0.439,0.439,0.171,-0.012,1.037,31,2.28,2.2,1.61,45,46,13,135,140,125,0.964286,1.12,1.08,102.9055,106.42,26.981538,12.4,12,2.7,66,26.14,57.8,3.8,3.89,4.05,FCC,FCC,FCC,5,5,3,9,10,13
95,Co2IrIn,Co,Ir,In,l21,0.495241,-0.1618895,6.08935187,1015.5365,513.002,8.5301,0.468435,1.545,1.545,0.689,-0.095,3.684,30,1.88,2.2,1.78,27,77,49,135,135,155,1,0.870968,0.870968,58.933194,192.217,114.818,8.86,22.5622,7.31,55,54,65,2.51,3.84,4.59,HEX,FCC,TET,4,6,5,9,9,13
1944,Ru2IrSb,Ru,Ir,Sb,l21,0.361136,-0.3332485,6.320369312,1007.8503,124.502,11.6578,0.226353,0.594,0.594,0.321,-0.015,1.494,30,2.2,2.2,2.05,44,77,51,130,135,145,0.962963,0.931034,0.896552,101.07,192.217,121.76,12.1,22.5622,6.68,72,54,43,2.7,3.84,4.51,HEX,FCC,RHL,5,6,5,8,9,15
1793,Rh2VAl,Rh,V,Al,l21,1.562271,0.638143,6.047947939,1005.0579,111.002,10.1479,0.747361,0.2,0.2,1.177,-0.008,1.569,26,2.28,1.63,1.61,45,23,13,135,135,125,1,1.08,1.08,102.9055,50.9415,26.981538,12.4,6,2.7,66,87,57.8,3.8,3.02,4.05,FCC,BCC,FCC,5,4,3,9,5,13
1729,Rh2PdB,Rh,Pd,B,l21,0.433854,-0.43164425,5.883336309,1003.4996,0,10.2547,0.034225,0.285,0.285,0.098,-0.013,0.655,31,2.28,2.2,2.04,45,46,5,135,140,85,0.964286,1.647059,1.588235,102.9055,106.42,10.81,12.4,12,2.34,66,26.14,20.5,3.8,3.89,8.73,FCC,FCC,TET,5,5,2,9,10,13
1915,Ru2FeAs,Ru,Fe,As,l21,1.041562,-0.016931,6.010202579,1002.4564,379.502,11.4952,0.753627,0.534,0.534,3.024,0.021,4.113,29,2.2,1.83,2.18,44,26,33,130,140,115,0.928571,1.217391,1.130435,101.07,55.845,74.921595,12.1,7.87,5.75,72,62,30,2.7,2.87,4.13,HEX,BCC,RHL,5,4,4,8,8,15
